author,project name,url,(1) no project,(2) no wiki/no content,(3) wiki and content
TeamAlva,AlvaV2.git,https://github.com/TeamAlva/AlvaV2.git, ,x, 
TeamAwesomezz,chronos.git,https://github.com/TeamAwesomezz/chronos.git, ,x, 
TeamBasementOrg,GoBackPlease.git,https://github.com/TeamBasementOrg/GoBackPlease.git, ,x, 
TeamBliss-Devices,android_device_lge_gproj-common.git,https://github.com/TeamBliss-Devices/android_device_lge_gproj-common.git, ,x, 
TeamBliss-Devices,android_device_motorola_moto_msm8960.git,https://github.com/TeamBliss-Devices/android_device_motorola_moto_msm8960.git, ,x, 
TeamBliss-LP,android_frameworks_native.git,https://github.com/TeamBliss-LP/android_frameworks_native.git, ,x, 
TeamBliss-LP,android_vendor_bliss.git,https://github.com/TeamBliss-LP/android_vendor_bliss.git, ,x, 
TeamCarina,global.hackathon.git,https://github.com/TeamCarina/global.hackathon.git, ,x, 
TeamCorn,PhotoForum.git,https://github.com/TeamCorn/PhotoForum.git, ,x, 
teamcusat,FoodAppApi.git,https://github.com/teamcusat/FoodAppApi.git, ,x, 
teamdeeson,fiatraining.git,https://github.com/teamdeeson/fiatraining.git, ,x, 
teamdeeson,thecultureawards.git,https://github.com/teamdeeson/thecultureawards.git, ,x, 
TeamDPB,SoftwareEngineeringGUI.git,https://github.com/TeamDPB/SoftwareEngineeringGUI.git, ,x, 
TeamDRS,WebProject.git,https://github.com/TeamDRS/WebProject.git, ,x, 
TeamEireneSoftUni,Battleship-Commander.git,https://github.com/TeamEireneSoftUni/Battleship-Commander.git, ,x, 
TeamEOS,device_htc_flounder.git,https://github.com/TeamEOS/device_htc_flounder.git, ,x, 
TeamEOS,device_qcom_sepolicy.git,https://github.com/TeamEOS/device_qcom_sepolicy.git, ,x, 
TeamEOS,external_curl.git,https://github.com/TeamEOS/external_curl.git, ,x, 
TeamEOS,external_icu.git,https://github.com/TeamEOS/external_icu.git,x, , 
TeamEOS,hardware_qcom_bt.git,https://github.com/TeamEOS/hardware_qcom_bt.git, ,x, 
TeamEOS,hardware_samsung_slsi_exynos5.git,https://github.com/TeamEOS/hardware_samsung_slsi_exynos5.git, ,x, 
TeamFF0000,payrollsystem.git,https://github.com/TeamFF0000/payrollsystem.git, ,x, 
TeamGosu,TapaDepo.git,https://github.com/TeamGosu/TapaDepo.git, ,x, 
teamjft,Grails-OAuth-Server.git,https://github.com/teamjft/Grails-OAuth-Server.git, ,x, 
TeamKMDTechDemo,TechDemo.git,https://github.com/TeamKMDTechDemo/TechDemo.git, ,x, 
teamknowly,bigbluebutton.git,https://github.com/teamknowly/bigbluebutton.git, ,x, 
teamlet,javaLearningDemos.git,https://github.com/teamlet/javaLearningDemos.git, , ,x
teamlet,restlet-demo.git,https://github.com/teamlet/restlet-demo.git, ,x, 
TeamMagnequasar,FluxGearTweaks.git,https://github.com/TeamMagnequasar/FluxGearTweaks.git, ,x, 
teamolympusgames,blog.git,https://github.com/teamolympusgames/blog.git, ,x, 
TeamOnee,FinalGameRep.git,https://github.com/TeamOnee/FinalGameRep.git, ,x, 
TeamOS3,ogopogo.git,https://github.com/TeamOS3/ogopogo.git, ,x, 
TeamPraxis,rrule.git,https://github.com/TeamPraxis/rrule.git, ,x, 
teamprogrezz,progrezz-minigames-linksnake.git,https://github.com/teamprogrezz/progrezz-minigames-linksnake.git, ,x, 
TeamProjectHSE,abrosimova-erdnieva-hosnetdinov.git,https://github.com/TeamProjectHSE/abrosimova-erdnieva-hosnetdinov.git, ,x, 
TeamProjectHSE,kitaykina-antonova.git,https://github.com/TeamProjectHSE/kitaykina-antonova.git, ,x, 
TeamProjectHSE,sogomonyan-ilyina-fadeeva.git,https://github.com/TeamProjectHSE/sogomonyan-ilyina-fadeeva.git, ,x, 
teamreactive,cuboclient.git,https://github.com/teamreactive/cuboclient.git, ,x, 
TeamREDBOMBA,redbomba-android-arena.git,https://github.com/TeamREDBOMBA/redbomba-android-arena.git, ,x, 
TeamRegular,android_kernel_madcatz_mojo.git,https://github.com/TeamRegular/android_kernel_madcatz_mojo.git, ,x, 
TeamRegular,android_vendor_madcatz_mojo.git,https://github.com/TeamRegular/android_vendor_madcatz_mojo.git, ,x, 
teamrun,human-face-animal-body.git,https://github.com/teamrun/human-face-animal-body.git, ,x, 
TeamSBK,agent.git,https://github.com/TeamSBK/agent.git, ,x, 
TeamSPoon,knowrob.git,https://github.com/TeamSPoon/knowrob.git, ,x, 
TeamSync,Sync-Final.git,https://github.com/TeamSync/Sync-Final.git, ,x, 
TeamVoxive,vox_remover.git,https://github.com/TeamVoxive/vox_remover.git,x, , 
TeamWhoop,CSE360Project.git,https://github.com/TeamWhoop/CSE360Project.git, ,x, 
teapi,ruby-client.git,https://github.com/teapi/ruby-client.git, ,x, 
teavirdis,javacore.git,https://github.com/teavirdis/javacore.git, ,x, 
Tebansm,Clone-wars.git,https://github.com/Tebansm/Clone-wars.git, ,x, 
tebayoso,lolmobile.git,https://github.com/tebayoso/lolmobile.git,x, , 
teberle,wxmplot.git,https://github.com/teberle/wxmplot.git, ,x, 
tebru,CoffeeCalc.git,https://github.com/tebru/CoffeeCalc.git, ,x, 
tebru,multi-array.git,https://github.com/tebru/multi-array.git, ,x, 
TEC-INFO-GROUP,SocialManager.git,https://github.com/TEC-INFO-GROUP/SocialManager.git, ,x, 
TechArms,ncdrc.git,https://github.com/TechArms/ncdrc.git, ,x, 
Techblogogy,GameEngine.git,https://github.com/Techblogogy/GameEngine.git, ,x, 
techbow,web2kraken.git,https://github.com/techbow/web2kraken.git, ,x, 
Techcarry,techcarry.github.io.git,https://github.com/Techcarry/techcarry.github.io.git,x, , 
TechChef-Team,Senior-Project.git,https://github.com/TechChef-Team/Senior-Project.git, ,x, 
techcode7,Healthcare.git,https://github.com/techcode7/Healthcare.git, ,x, 
TechConf,CodeMash2015.git,https://github.com/TechConf/CodeMash2015.git, ,x, 
techlogics,GreatPhrase.git,https://github.com/techlogics/GreatPhrase.git, ,x, 
technic-programming,AppEngineSkeletonProject.git,https://github.com/technic-programming/AppEngineSkeletonProject.git,x, , 
technic-programming,Posterous-App-Engine.git,https://github.com/technic-programming/Posterous-App-Engine.git,x, , 
technicallyfeasible,BeanBrowser.git,https://github.com/technicallyfeasible/BeanBrowser.git, ,x, 
technik,assemblyTool.git,https://github.com/technik/assemblyTool.git,x, , 
TechniPoet,octoMom.git,https://github.com/TechniPoet/octoMom.git, ,x, 
techno-tanoC,bool_match.git,https://github.com/techno-tanoC/bool_match.git, ,x, 
techno-tanoC,extractable.git,https://github.com/techno-tanoC/extractable.git, ,x, 
TechNole,hackfsu-frontend.git,https://github.com/TechNole/hackfsu-frontend.git,x, , 
technoSofTeam,MavenHibernateSpringBootstrapAngularJQueryCRUD.git,https://github.com/technoSofTeam/MavenHibernateSpringBootstrapAngularJQueryCRUD.git, ,x, 
TechShroom,Slithering-Latte.git,https://github.com/TechShroom/Slithering-Latte.git, ,x, 
TechV,DroneOS.git,https://github.com/TechV/DroneOS.git, , ,x
techvn,geoip.git,https://github.com/techvn/geoip.git, ,x, 
TechWorms,fanx-framework.git,https://github.com/TechWorms/fanx-framework.git, ,x, 
techytux,camperfresh.git,https://github.com/techytux/camperfresh.git, ,x, 
techyvish,locater-nodejs.git,https://github.com/techyvish/locater-nodejs.git, ,x, 
TechzoneMC,FactionsAPI.git,https://github.com/TechzoneMC/FactionsAPI.git, ,x, 
Teckden,cats_gallery.git,https://github.com/Teckden/cats_gallery.git, ,x, 
Teckden,compeak_test.git,https://github.com/Teckden/compeak_test.git, ,x, 
Tecnocreaciones,BtoBSocialNetworkCoreBundle.git,https://github.com/Tecnocreaciones/BtoBSocialNetworkCoreBundle.git, ,x, 
Tecnocreaciones,CrmTemplateBundle.git,https://github.com/Tecnocreaciones/CrmTemplateBundle.git, ,x, 
teconsiberia,TSU.git,https://github.com/teconsiberia/TSU.git, ,x, 
tecton,Neural-Network-Simulation.git,https://github.com/tecton/Neural-Network-Simulation.git, ,x, 
Tectrend,Festas.git,https://github.com/Tectrend/Festas.git, ,x, 
teddyaryono,umndosen-login.git,https://github.com/teddyaryono/umndosen-login.git, ,x, 
teddywing,vim-ls-grep.git,https://github.com/teddywing/vim-ls-grep.git, ,x, 
